央视,#genre#
河南卫视,http://mqiptv.com:8014/ch/custom51/mqlive.m3u8#https://live.goodiptv.club/api/cqyx.php?id=henanHD#http://221.2.36.34:8888/newlive/live/hls/33/live.m3u8#http://111.40.196.28:443/PLTV/88888888/224/3221225524/1.m3u8#http://media.hndyjyfw.gov.cn/live/jz-hnweishi/live.m3u8
湖北卫视,http://mqiptv.com:8014/ch/custom49/mqlive.m3u8#http://221.2.36.34:8888/newlive/live/hls/34/live.m3u8#https://live.metshop.top/bestv.php?id=hubeiws8m/8000000#https://tv.iill.top/cqyx/hubeiSD
江西卫视,http://mqiptv.com:8014/ch/custom45/mqlive.m3u8#http://221.2.36.34:8888/newlive/live/hls/48/live.m3u8#https://live.metshop.top/bestv.php?id=jxws8m/8000000#https://cntv.sbs/tv?auth=2310201855&id=jxws#https://live.goodiptv.club/api/cqyx.php?id=jiangxiHD
吉林卫视,http://221.2.36.34:8888/newlive/live/hls/35/live.m3u8#https://tv.iill.top/cqyx/jilinHD#https://live.goodiptv.club/api/cqyx.php?id=jilinHD#http://mqiptv.com:8014/ch/custom47/mqlive.m3u8#https://cntv.sbs/tv?auth=2310201855&id=jlws
内蒙古卫视,http://mqiptv.com:8014/ch/custom42/mqlive.m3u8#https://live.goodiptv.club/api/cqyx.php?id=neimengkuSD#https://tv.iill.top/cqyx/neimengkuSD#https://cntv.sbs/tv?auth=2310201855&id=nmws
宁夏卫视,http://mqiptv.com:8014/ch/custom41/mqlive.m3u8#https://tv.iill.top/cqyx/ningxia#https://cntv.sbs/tv?auth=2310201855&id=nxws
山西卫视,http://mqiptv.com:8014/ch/custom38/mqlive.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225763/1.m3u8#https://tv.iill.top/cqyx/shanxiSD#https://cntv.sbs/tv?auth=2310201855&id=sxiws
陕西卫视,http://mqiptv.com:8014/ch/custom37/mqlive.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226458/1.m3u8#https://cntv.sbs/tv?auth=2310201855&id=sxws
四川卫视,http://221.2.36.34:8888/newlive/live/hls/32/live.m3u8#https://live.goodiptv.club/api/cqyx.php?id=sichuanHD#http://mqiptv.com:8014/ch/custom35/mqlive.m3u8#https://tv.iill.top/cqyx/sichuanHD#http://111.40.196.28:443/PLTV/88888888/224/3221225562/1.m3u8
新疆卫视,http://mqiptv.com:8014/ch/custom32/mqlive.m3u8#http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225747/1.m3u8#http://221.2.36.34:8888/newlive/live/hls/38/live.m3u8#https://tv.iill.top/cqyx/xinjiangSD#https://cntv.sbs/tv?auth=2310201855&id=xjws
